feature_set,criterion,max_depth,min_samples_leaf,cv_auc_mean,cv_auc_std,cv_accuracy_mean,cv_accuracy_std
border_asymmetry,gini,2.0,1,0.6329344922841995,0.021938226703320674,0.6119047619047618,0.016581414615695372
border_asymmetry,gini,2.0,2,0.6329344922841995,0.021938226703320674,0.6119047619047618,0.016581414615695372
border_asymmetry,gini,2.0,5,0.6329344922841995,0.021938226703320674,0.6119047619047618,0.016581414615695372
border_asymmetry,gini,2.0,10,0.6329344922841995,0.021938226703320674,0.6119047619047618,0.016581414615695372
border_asymmetry,gini,2.0,20,0.6329344922841995,0.021938226703320674,0.6119047619047618,0.016581414615695372
border_asymmetry,gini,3.0,1,0.6348551429172811,0.017403781094276392,0.6053571428571429,0.01074730362218322
border_asymmetry,gini,3.0,2,0.6348657721689818,0.01741777489303703,0.6053571428571429,0.01074730362218322
border_asymmetry,gini,3.0,5,0.6362263163866688,0.016776171578135508,0.6053571428571429,0.01074730362218322
border_asymmetry,gini,3.0,10,0.6367719588396368,0.015983222477152684,0.6071428571428571,0.010309826235529045
border_asymmetry,gini,3.0,20,0.6302774765095659,0.023595025948657748,0.5976190476190476,0.015338212769910858
border_asymmetry,gini,4.0,1,0.6368111592346845,0.019662017476817107,0.5982142857142857,0.01586061023151695
border_asymmetry,gini,4.0,2,0.6357021675714305,0.01788066742546963,0.5970238095238095,0.014892852384758114
border_asymmetry,gini,4.0,5,0.6394507862419909,0.018718292880397683,0.5976190476190476,0.015793451382644774
border_asymmetry,gini,4.0,10,0.6443331441813873,0.014733205551718512,0.6017857142857144,0.012400396819047407
border_asymmetry,gini,4.0,20,0.6371687952838838,0.0217402441981167,0.5964285714285714,0.011694573038326482
border_asymmetry,gini,5.0,1,0.6366268876126907,0.026161958215970903,0.6095238095238095,0.020653989967735098
border_asymmetry,gini,5.0,2,0.6386854157180949,0.024934123388071914,0.6089285714285714,0.021011145946098573
border_asymmetry,gini,5.0,5,0.6418848219864662,0.02514026591267366,0.6130952380952381,0.013832083379312205
border_asymmetry,gini,5.0,10,0.6431142343126411,0.020112067436157028,0.6190476190476191,0.013573516965465928
border_asymmetry,gini,5.0,20,0.6411762753826565,0.019375443855436596,0.6095238095238095,0.018481160352690488
border_asymmetry,gini,6.0,1,0.608883877954151,0.012586206313032004,0.5863095238095238,0.01795607515356949
border_asymmetry,gini,6.0,2,0.6121364996529504,0.010923898190765391,0.5857142857142857,0.01759731607035059
border_asymmetry,gini,6.0,5,0.6182660850158959,0.012704216824159177,0.5886904761904762,0.01698255073534181
border_asymmetry,gini,6.0,10,0.6335299412847613,0.01258157712748432,0.601190476190476,0.020360275448198902
border_asymmetry,gini,6.0,20,0.6329312113254872,0.017448997008441124,0.5982142857142857,0.019103341114144298
border_asymmetry,gini,8.0,1,0.5990656476113104,0.025116564738067497,0.5898809523809524,0.01322982783981719
border_asymmetry,gini,8.0,2,0.6011560499136172,0.02610264118614896,0.5821428571428571,0.016581414615695376
border_asymmetry,gini,8.0,5,0.6083380535953411,0.02149483670095771,0.5797619047619047,0.014260891131798731
border_asymmetry,gini,8.0,10,0.6261069434963749,0.017238957547390035,0.6017857142857144,0.0034708046993126664
border_asymmetry,gini,8.0,20,0.6343236078963115,0.019157631837914222,0.6005952380952381,0.01819131760706683
border_asymmetry,gini,10.0,1,0.5851625361712673,0.019756466960366127,0.5779761904761904,0.017597316070350564
border_asymmetry,gini,10.0,2,0.5932408200645765,0.022170572651366818,0.5821428571428571,0.021918991237526154
border_asymmetry,gini,10.0,5,0.5957884962424304,0.014997656368165097,0.5708333333333333,0.014507211436849929
border_asymmetry,gini,10.0,10,0.6252105510530281,0.015524332906547388,0.5845238095238094,0.015245533898649632
border_asymmetry,gini,10.0,20,0.6275351201553742,0.007918498245303092,0.5880952380952381,0.014653016220346619
border_asymmetry,gini,,1,0.5338970832637345,0.013125935923647206,0.5339285714285714,0.013122266479195588
border_asymmetry,gini,,2,0.5496428756472885,0.008699790159030015,0.5386904761904762,0.007529232524210453
border_asymmetry,gini,,5,0.5734419462106259,0.016539691734708355,0.5416666666666666,0.015058465048420878
border_asymmetry,gini,,10,0.6013443513337613,0.01079426402125448,0.5738095238095239,0.014507211436849929
border_asymmetry,gini,,20,0.623991974238939,0.014609143208963764,0.5851190476190476,0.01952526127006753
border_asymmetry,entropy,2.0,1,0.6322435875341054,0.021167684586923943,0.6148809523809524,0.012570661953537433
border_asymmetry,entropy,2.0,2,0.6322435875341054,0.021167684586923943,0.6148809523809524,0.012570661953537433
border_asymmetry,entropy,2.0,5,0.6322435875341054,0.021167684586923943,0.6148809523809524,0.012570661953537433
border_asymmetry,entropy,2.0,10,0.6322435875341054,0.021167684586923943,0.6148809523809524,0.012570661953537433
border_asymmetry,entropy,2.0,20,0.6355883772446251,0.018091535806581252,0.6136904761904762,0.01401024082849979
border_asymmetry,entropy,3.0,1,0.6358613602907296,0.01893762213715922,0.6059523809523809,0.010240863413145998
border_asymmetry,entropy,3.0,2,0.6358613602907296,0.01893762213715922,0.6059523809523809,0.010240863413145998
border_asymmetry,entropy,3.0,5,0.6369916040549018,0.018277144070389995,0.6059523809523809,0.010240863413145998
border_asymmetry,entropy,3.0,10,0.637459291882965,0.01687631965998896,0.6071428571428571,0.010309826235529045
border_asymmetry,entropy,3.0,20,0.6429014993852009,0.015340323618279956,0.6011904761904762,0.016082447721555135
border_asymmetry,entropy,4.0,1,0.6439079610573162,0.015390574000311007,0.6029761904761906,0.01440918861536929
border_asymmetry,entropy,4.0,2,0.6445067357084326,0.015022463358391145,0.6017857142857143,0.013229827839817188
border_asymmetry,entropy,4.0,5,0.6457893340889369,0.016437585804810348,0.6035714285714286,0.015105449452916093
border_asymmetry,entropy,4.0,10,0.6444252122641567,0.018771387883714706,0.6,0.012986562041232986
border_asymmetry,entropy,4.0,20,0.6429724715374225,0.014677512019666949,0.594047619047619,0.015815869351888605
border_asymmetry,entropy,5.0,1,0.6564258193400664,0.013900969921757999,0.618452380952381,0.009671474291233302
border_asymmetry,entropy,5.0,2,0.6581406759650205,0.012664714436535624,0.618452380952381,0.009671474291233302
border_asymmetry,entropy,5.0,5,0.6576552902928996,0.01302886845693473,0.6178571428571428,0.010412414097938052
border_asymmetry,entropy,5.0,10,0.6436138511980989,0.017993950516217615,0.6160714285714286,0.01097564816344391
